year,month,species_id,rodent_type,plot_type,captures
1977,7,DM,Kangaroo Rat,Control,0.41935483870967744
1977,7,DM,Kangaroo Rat,Long-term Krat Exclosure,0.3225806451612903
1977,7,DS,Kangaroo Rat,Control,0.06451612903225806
1977,7,DS,Kangaroo Rat,Long-term Krat Exclosure,0.03225806451612903
1977,7,PE,Granivore,Control,0.03225806451612903
1977,7,PE,Granivore,Long-term Krat Exclosure,0.03225806451612903
1977,7,PF,Granivore,Control,0.03225806451612903
1977,7,PP,Granivore,Control,0.0967741935483871
1977,8,DM,Kangaroo Rat,Control,0.6451612903225806
1977,8,DM,Kangaroo Rat,Long-term Krat Exclosure,0.3548387096774194
1977,8,DO,Kangaroo Rat,Control,0.03225806451612903
1977,8,DS,Kangaroo Rat,Control,0.0967741935483871
1977,8,DS,Kangaroo Rat,Long-term Krat Exclosure,0.06451612903225806
1977,8,PF,Granivore,Control,0.12903225806451613
1977,8,PP,Granivore,Control,0.06451612903225806
1977,9,DM,Kangaroo Rat,Control,0.6774193548387096
1977,9,DM,Kangaroo Rat,Long-term Krat Exclosure,0.22580645161290322
1977,9,DS,Kangaroo Rat,Control,0.25806451612903225
1977,9,DS,Kangaroo Rat,Long-term Krat Exclosure,0.12903225806451613
1977,9,PE,Granivore,Control,0.03225806451612903
1977,9,PF,Granivore,Control,0.06451612903225806
1977,9,PP,Granivore,Control,0.03225806451612903
1977,9,PP,Granivore,Long-term Krat Exclosure,0.03225806451612903
1977,10,DM,Kangaroo Rat,Control,0.6774193548387096
1977,10,DM,Kangaroo Rat,Long-term Krat Exclosure,0.25806451612903225
1977,10,DO,Kangaroo Rat,Control,0.0967741935483871
1977,10,DO,Kangaroo Rat,Long-term Krat Exclosure,0.06451612903225806
1977,10,DS,Kangaroo Rat,Control,0.3870967741935484
1977,10,PE,Granivore,Control,0.03225806451612903
1977,10,PF,Granivore,Control,0.03225806451612903
1977,10,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1977,10,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1977,11,DM,Kangaroo Rat,Control,0.5161290322580645
1977,11,DO,Kangaroo Rat,Control,0.03225806451612903
1977,11,DS,Kangaroo Rat,Control,0.2903225806451613
1977,11,PF,Granivore,Control,0.06451612903225806
1977,11,RM,Granivore,Control,0.03225806451612903
1977,12,DM,Kangaroo Rat,Control,0.5483870967741935
1977,12,DO,Kangaroo Rat,Control,0.03225806451612903
1977,12,DS,Kangaroo Rat,Control,0.41935483870967744
1977,12,PF,Granivore,Control,0.0967741935483871
1977,12,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1978,1,DM,Kangaroo Rat,Control,0.6129032258064516
1978,1,DS,Kangaroo Rat,Control,0.2903225806451613
1978,1,PE,Granivore,Control,0.03225806451612903
1978,1,PF,Granivore,Control,0.03225806451612903
1978,1,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1978,2,DM,Kangaroo Rat,Control,0.4838709677419355
1978,2,DM,Kangaroo Rat,Long-term Krat Exclosure,0.0967741935483871
1978,2,DS,Kangaroo Rat,Control,0.2903225806451613
1978,2,PE,Granivore,Control,0.03225806451612903
1978,2,PF,Granivore,Control,0.06451612903225806
1978,3,DM,Kangaroo Rat,Control,0.3548387096774194
1978,3,DM,Kangaroo Rat,Long-term Krat Exclosure,0.16129032258064516
1978,3,DO,Kangaroo Rat,Control,0.03225806451612903
1978,3,DS,Kangaroo Rat,Control,0.3870967741935484
1978,3,PE,Granivore,Control,0.06451612903225806
1978,3,PF,Granivore,Control,0.0967741935483871
1978,3,PF,Granivore,Long-term Krat Exclosure,0.06451612903225806
1978,3,RM,Granivore,Control,0.03225806451612903
1978,4,DM,Kangaroo Rat,Control,0.7419354838709677
1978,4,DM,Kangaroo Rat,Long-term Krat Exclosure,0.03225806451612903
1978,4,DO,Kangaroo Rat,Control,0.03225806451612903
1978,4,DS,Kangaroo Rat,Control,0.5483870967741935
1978,5,DM,Kangaroo Rat,Control,0.6451612903225806
1978,5,DM,Kangaroo Rat,Long-term Krat Exclosure,0.03225806451612903
1978,5,DO,Kangaroo Rat,Control,0.06451612903225806
1978,5,DS,Kangaroo Rat,Control,0.6451612903225806
1978,5,PF,Granivore,Control,0.06451612903225806
1978,5,PM,Granivore,Control,0.03225806451612903
1978,5,PP,Granivore,Control,0.06451612903225806
1978,6,DM,Kangaroo Rat,Control,0.41935483870967744
1978,6,DO,Kangaroo Rat,Control,0.0967741935483871
1978,6,DS,Kangaroo Rat,Control,0.6129032258064516
1978,6,PF,Granivore,Control,0.0967741935483871
1978,6,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1978,6,PP,Granivore,Control,0.03225806451612903
1978,7,DM,Kangaroo Rat,Control,0.5483870967741935
1978,7,DO,Kangaroo Rat,Control,0.06451612903225806
1978,7,DS,Kangaroo Rat,Control,0.6129032258064516
1978,7,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1978,7,PP,Granivore,Control,0.06451612903225806
1978,7,PP,Granivore,Long-term Krat Exclosure,0.06451612903225806
1978,8,DM,Kangaroo Rat,Control,0.5483870967741935
1978,8,DO,Kangaroo Rat,Control,0.03225806451612903
1978,8,DS,Kangaroo Rat,Control,0.4838709677419355
1978,8,PE,Granivore,Control,0.06451612903225806
1978,8,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
