date,plot,species,sex,hfl,wgt
1989-06-04,4,DM,M,37,46
1989-06-04,7,RM,F,17,9
1989-06-04,3,SH,M,32,67
1989-06-04,3,RM,F,16,8
1989-06-04,4,SS,NA,NA,NA
1989-06-04,8,DM,M,36,34
1989-06-04,14,DM,M,37,51
1989-06-04,2,SS,NA,NA,NA
1989-06-04,3,SH,F,33,111
1989-06-04,13,RF,F,15,11
1989-06-04,9,PE,M,21,18
1989-06-04,3,SH,F,29,60
1989-06-04,2,DO,F,36,44
1989-06-04,4,DM,F,31,25
1989-06-04,8,DS,M,53,113
1989-06-04,10,RM,F,17,11
1989-06-04,11,DM,M,NA,NA
1989-06-04,8,DM,F,37,41
1989-06-04,15,PE,M,21,20
1989-06-04,15,AH,NA,NA,NA
1989-06-04,9,OL,M,21,32
1989-06-04,15,PE,F,20,14
1989-06-04,3,RM,M,18,10
1989-06-04,13,RM,M,17,10
1989-06-04,3,RM,F,17,8
1989-06-04,4,DM,F,36,37
1989-06-04,2,DO,M,36,54
1989-06-04,15,PE,F,22,18
1989-06-04,15,AH,NA,NA,NA
1989-06-04,7,RM,M,16,12
1989-06-04,9,DM,F,37,49
1989-06-04,11,RM,M,17,10
1989-06-04,9,SS,NA,NA,NA
1989-06-04,5,RM,F,17,12
1989-06-04,14,DM,M,36,45
1989-06-04,9,DM,M,36,44
1989-06-04,14,NA,M,33,104
1989-06-04,8,DM,M,37,46
1989-06-04,4,DM,M,36,36
1989-06-04,9,OL,F,19,19
1989-06-04,8,DM,M,37,47
1989-06-04,15,RM,M,17,12
1989-06-04,5,PP,M,24,22
1989-06-04,3,RM,M,17,9
1989-06-04,13,PE,M,21,14
1989-06-04,8,DM,F,50,38
1989-06-04,14,PE,M,19,18
1989-06-04,4,DM,F,39,42
1989-06-04,14,DM,M,36,40
1989-06-04,7,PE,M,20,23
1989-06-04,4,DM,M,36,37
1989-06-04,5,OL,M,22,31
1989-06-04,9,DM,M,37,52
1989-06-04,8,DM,M,36,44
1989-06-04,15,RM,F,17,5
1989-06-04,13,PE,F,21,21
1989-06-04,5,PE,M,20,21
1989-06-04,11,DM,M,36,45
1989-06-04,10,RM,M,17,11
1989-07-03,21,RM,NA,NA,NA
1989-07-03,7,RM,M,NA,10
1989-07-03,7,PE,M,NA,20
1989-07-03,1,SS,NA,NA,NA
1989-07-03,12,RF,M,19,15
1989-07-03,17,DO,F,NA,47
1989-07-03,21,SH,F,NA,120
1989-07-03,24,NA,F,NA,207
1989-07-03,7,RM,F,NA,10
1989-07-03,12,NA,F,NA,NA
1989-07-03,18,PM,F,NA,15
1989-07-03,17,RM,F,NA,11
1989-07-03,17,SS,NA,NA,NA
1989-07-03,21,SH,M,NA,61
1989-07-03,7,RM,F,NA,10
1989-07-03,7,AH,NA,NA,NA
1989-07-03,17,NA,M,NA,84
1989-07-03,21,NA,M,NA,145
1989-07-03,20,RF,F,NA,11
1989-07-03,1,DM,M,37,42
1989-07-03,12,OX,M,21,20
1989-07-03,7,RM,NA,NA,NA
1989-07-03,20,RM,M,NA,10
1989-07-03,19,SH,F,NA,80
1989-07-03,17,RM,M,NA,10
1989-07-03,12,AH,NA,NA,NA
1989-07-03,20,NA,M,NA,131
1989-07-03,7,AH,NA,NA,NA
1989-07-03,6,RF,F,NA,9
1989-07-03,12,DM,M,NA,48
1989-07-03,23,RM,F,NA,11
1989-07-03,22,DS,M,NA,NA
1989-07-03,21,RM,F,NA,9
1989-07-03,7,PE,F,NA,24
1989-07-03,1,SS,NA,NA,NA
1989-07-03,22,DM,F,NA,44
1989-07-03,23,RM,M,NA,10
1989-07-03,18,PM,F,NA,23
1989-07-03,17,NA,F,NA,73
1989-07-03,1,DO,F,37,47
1989-07-03,22,DS,F,NA,119
1989-07-03,1,OL,M,NA,36
1989-07-03,1,SS,NA,NA,NA
1989-07-03,17,OT,M,NA,22
1989-07-03,24,RM,M,NA,9
1989-07-03,12,AH,NA,NA,NA
1989-07-03,21,NA,F,NA,160
1989-07-03,24,SS,NA,NA,NA
1989-07-03,23,AH,NA,NA,NA
1989-07-03,12,RF,F,18,14
1989-07-03,22,PE,F,NA,19
1989-07-03,18,RM,F,NA,10
1989-07-03,20,DM,M,NA,46
1989-07-03,19,PE,M,NA,21
1989-07-03,17,SH,F,NA,51
1989-07-03,24,NA,F,NA,NA
1989-07-03,21,RM,F,NA,10
1989-07-04,4,DM,F,NA,43
1989-07-04,11,DM,F,NA,30
1989-07-04,9,DM,M,NA,46
1989-07-04,3,SH,F,NA,105
1989-07-04,11,DO,F,NA,52
1989-07-04,15,PE,M,NA,16
1989-07-04,14,DM,M,NA,44
1989-07-04,3,RM,F,NA,9
1989-07-04,3,OT,M,NA,23
1989-07-04,9,RM,F,NA,9
1989-07-04,16,RM,F,NA,8
1989-07-04,9,OT,M,NA,25
1989-07-04,4,DM,F,NA,23
1989-07-04,16,PE,F,NA,22
1989-07-04,2,DO,F,NA,43
1989-07-04,8,DS,M,NA,102
1989-07-04,15,AH,NA,NA,NA
1989-07-04,8,DM,M,NA,46
1989-07-04,8,DM,F,NA,45
1989-07-04,14,DM,M,NA,41
1989-07-04,2,DM,M,NA,46
1989-07-04,16,PE,M,NA,21
1989-07-04,8,AH,NA,NA,NA
1989-07-04,11,PP,M,NA,16
1989-07-04,9,SS,NA,NA,NA
1989-07-04,14,SA,NA,NA,NA
1989-07-04,2,SH,M,NA,82
1989-07-04,3,SS,NA,NA,NA
1989-07-04,5,RM,F,NA,13
1989-07-04,9,DM,M,NA,52
1989-07-04,9,DM,F,NA,50
1989-07-04,3,PP,M,NA,NA
1989-07-04,4,DM,F,NA,42
1989-07-04,5,RM,F,NA,10
1989-07-04,8,DM,F,NA,32
1989-07-04,13,RM,M,NA,10
1989-07-04,3,SH,M,NA,26
1989-07-04,14,DM,M,NA,46
1989-07-04,8,OL,F,NA,18
1989-07-04,2,DO,M,NA,58
1989-07-04,15,RM,F,NA,10
1989-07-04,14,NA,M,NA,116
1989-07-04,13,RF,F,18,13
1989-07-04,9,SS,NA,NA,NA
1989-07-04,8,DM,M,NA,48
1989-07-04,3,RM,F,NA,9
1989-07-04,3,RM,M,NA,11
1989-07-04,11,OT,M,NA,14
1989-07-04,4,DM,F,NA,51
1989-07-04,5,PP,M,NA,17
1989-07-04,11,DM,M,NA,47
1989-07-04,10,RM,F,NA,8
1989-07-04,8,DM,M,NA,NA
1989-07-29,17,OT,M,21,22
1989-07-29,24,OT,F,21,19
1989-07-29,12,OT,F,21,18
1989-07-29,6,PP,F,22,19
1989-07-29,12,PE,M,20,22
1989-07-29,17,DM,F,37,40
1989-07-29,7,PE,NA,NA,NA
1989-07-29,6,PP,M,19,10
1989-07-29,19,SH,F,23,30
1989-07-29,12,RM,NA,NA,NA
1989-07-29,20,NA,M,32,88
1989-07-29,12,OT,M,18,NA
1989-07-29,20,DM,M,34,26
1989-07-29,24,RM,F,16,16
1989-07-29,1,DO,F,36,50
1989-07-29,20,NA,M,33,132
1989-07-29,22,DS,F,49,102
1989-07-29,21,RM,F,17,11
1989-07-29,1,DM,M,37,46
1989-07-29,20,DM,F,35,45
1989-07-29,20,RM,F,17,13
1989-07-29,20,DM,M,NA,NA
1989-07-29,12,DM,M,36,49
1989-07-29,17,DM,M,38,51
1989-07-29,1,DO,F,39,47
1989-07-29,21,NA,M,32,77
1989-07-29,7,PE,M,21,21
1989-07-29,12,DO,F,37,52
1989-07-29,1,PP,M,23,18
1989-07-29,6,PE,M,19,23
1989-07-29,12,PE,M,21,14
1989-07-29,18,PM,F,20,25
1989-07-29,23,NA,NA,NA,NA
1989-07-30,3,SH,M,25,31
1989-07-30,13,PP,F,22,19
1989-07-30,10,RM,M,16,11
1989-07-30,5,OT,M,21,29
1989-07-30,9,DO,F,34,38
1989-07-30,15,PE,M,18,18
1989-07-30,11,DO,F,35,42
1989-07-30,9,DM,F,36,44
1989-07-30,10,RM,M,16,11
1989-07-30,3,PP,M,20,17
1989-07-30,8,DM,F,36,51
1989-07-30,8,DM,F,33,23
1989-07-30,3,OT,F,20,27
1989-07-30,5,RM,F,17,14
1989-07-30,11,DO,F,37,42
1989-07-30,8,DS,M,NA,NA
1989-07-30,2,DO,F,36,48
1989-07-30,9,OL,F,21,31
1989-07-30,4,DM,M,36,28
1989-07-30,2,DM,F,37,51
1989-07-30,14,DM,M,37,52
1989-07-30,3,RM,M,16,11
1989-07-30,4,DM,F,35,44
1989-07-30,14,DM,F,37,41
1989-07-30,2,RF,F,17,16
1989-07-30,8,DM,M,37,46
1989-07-30,2,DO,M,37,58
1989-07-30,4,DM,F,36,40
1989-07-30,14,SS,NA,NA,NA
1989-07-30,3,RM,F,17,12
1989-07-30,3,PP,F,23,18
1989-07-30,4,DM,M,36,47
1989-07-30,14,DM,M,37,43
1989-07-30,13,PE,F,21,21
1989-07-30,3,RM,M,17,11
1989-07-30,5,PP,M,22,17
1989-07-30,4,DM,M,38,47
1989-07-30,14,DM,M,37,47
1989-07-30,14,DM,F,37,47
1989-07-30,5,PE,F,22,26
1989-07-30,14,NA,M,34,151
1989-07-30,11,DM,M,36,49
1989-07-30,2,PP,M,24,17
1989-07-30,9,DM,M,38,56
1989-07-30,8,DM,M,36,48
1989-07-30,14,OT,M,21,31
1989-07-30,13,AH,NA,NA,NA
1989-07-30,11,RM,F,11,8
1989-07-30,14,DM,M,39,50
1989-07-30,2,NA,F,33,97
1989-07-30,4,DM,M,34,45
1989-07-30,9,DM,M,36,52
1989-07-30,16,RM,F,17,15
1989-07-30,2,OT,M,18,22
1989-07-30,2,DO,F,36,43
1989-07-30,4,DM,F,37,44
1989-07-30,8,DM,F,36,36
1989-07-30,14,DM,F,34,42
1989-09-03,1,DM,F,NA,NA
1989-09-03,6,PP,M,22,17
1989-09-03,1,OL,M,22,29
1989-09-03,12,OT,M,22,22
1989-09-03,17,DO,F,36,66
1989-09-03,18,PP,F,24,15
1989-09-03,6,PF,M,16,7
1989-09-03,12,DO,F,34,51
1989-09-03,17,OT,M,21,24
1989-09-03,6,PF,F,16,7
1989-09-03,21,SH,F,31,127
1989-09-03,1,PP,M,24,17
1989-09-03,23,OT,M,22,27
1989-09-03,17,DO,F,35,23
1989-09-03,12,OT,F,21,22
1989-09-03,1,DO,F,37,54
1989-09-03,22,DM,F,40,58
1989-09-03,1,OT,F,20,22
1989-09-03,12,PE,M,21,23
1989-09-03,22,DM,F,35,36
1989-09-03,1,OT,F,22,30
1989-09-03,12,OT,M,22,29
1989-09-03,17,SS,NA,NA,NA
1989-09-03,1,OT,M,21,28
1989-09-03,1,DO,M,36,52
1989-09-03,22,DS,F,52,121
1989-09-03,1,DM,M,37,48
1989-09-03,12,DM,M,37,49
1989-09-03,23,OT,F,22,27
1989-09-03,6,PE,F,19,28
1989-09-03,17,NA,F,33,118
1989-09-03,6,PP,F,22,18
1989-09-03,12,DO,F,35,54
1989-09-03,19,OT,F,20,25
1989-09-03,19,PE,F,22,23
1989-09-03,19,SH,F,29,100
1989-09-03,7,NA,NA,NA,NA
1989-09-03,20,NA,NA,NA,NA
1989-09-03,24,NA,NA,NA,NA
1989-09-04,11,DO,F,35,37
1989-09-04,9,DO,F,36,49
1989-09-04,16,PE,F,19,27
1989-09-04,4,DM,F,37,40
1989-09-04,9,DO,M,36,50
1989-09-04,8,DM,M,37,46
1989-09-04,13,OT,M,21,22
1989-09-04,3,NA,M,34,208
