rodent_type,plot_type,quarter,mean_captures
Granivore,Control,1977.3,5
Granivore,Control,1977.4,2.6666666666666665
Granivore,Control,1978.1,3.6666666666666665
Granivore,Control,1978.2,3
Granivore,Control,1978.3,4.333333333333333
Granivore,Control,1978.4,1.3333333333333333
Granivore,Control,1979.1,1.6666666666666667
Granivore,Control,1979.3,2
Granivore,Control,1979.4,1.6666666666666667
Granivore,Control,1980.1,7.333333333333333
Granivore,Control,1980.2,2
Granivore,Control,1980.3,2.3333333333333335
Granivore,Control,1980.4,3
Granivore,Control,1981.1,2.6666666666666665
Granivore,Control,1981.2,5
Granivore,Control,1981.3,2.6666666666666665
Granivore,Control,1981.4,5
Granivore,Control,1982.1,14.333333333333334
Granivore,Control,1982.2,6.333333333333333
Granivore,Control,1982.3,10.666666666666666
Granivore,Control,1982.4,7.333333333333333
Granivore,Control,1983.1,14.333333333333334
Granivore,Control,1983.2,10.666666666666666
Granivore,Control,1983.3,5
Granivore,Control,1983.4,1.6666666666666667
Granivore,Control,1984.1,1.3333333333333333
Granivore,Control,1984.2,2.3333333333333335
Granivore,Control,1984.3,2
Granivore,Control,1984.4,1.3333333333333333
Granivore,Control,1985.1,3
Granivore,Control,1985.2,3
Granivore,Control,1985.3,3.3333333333333335
Granivore,Control,1985.4,5.333333333333333
Granivore,Control,1986.1,1.6666666666666667
Granivore,Control,1986.2,3
Granivore,Control,1986.3,0.6666666666666666
Granivore,Control,1986.4,5
Granivore,Control,1987.1,5.333333333333333
Granivore,Control,1987.2,10.666666666666666
Granivore,Control,1987.3,9
Granivore,Control,1987.4,12.666666666666666
Granivore,Control,1988.1,11
Granivore,Control,1988.2,5
Granivore,Control,1988.3,5
Granivore,Control,1988.4,8.333333333333334
Granivore,Control,1989.1,20.333333333333332
Granivore,Control,1989.2,8
Granivore,Control,1989.3,4
Granivore,Control,1989.4,12.333333333333334
Granivore,Control,1990.1,7.666666666666667
Granivore,Control,1990.2,0.3333333333333333
Granivore,Control,1990.3,0.3333333333333333
Granivore,Control,1990.4,1.3333333333333333
Granivore,Control,1991.1,5
Granivore,Control,1991.2,3.3333333333333335
Granivore,Control,1991.3,5.666666666666667
Granivore,Control,1991.4,11.333333333333334
Granivore,Control,1992.1,10
Granivore,Control,1992.2,3
Granivore,Control,1992.3,13.666666666666666
Granivore,Control,1992.4,3.3333333333333335
Granivore,Control,1993.1,6.333333333333333
Granivore,Control,1993.2,5
Granivore,Control,1993.3,4.666666666666667
Granivore,Control,1993.4,1
Granivore,Control,1994.1,0.3333333333333333
Granivore,Control,1994.2,1.6666666666666667
Granivore,Control,1994.3,2.3333333333333335
Granivore,Control,1994.4,2.6666666666666665
Granivore,Control,1995.1,0.6666666666666666
Granivore,Control,1995.2,3.6666666666666665
Granivore,Control,1995.3,28.333333333333332
Granivore,Control,1995.4,17.666666666666668
Granivore,Control,1996.1,17
Granivore,Control,1996.2,26.333333333333332
Granivore,Control,1996.3,18.666666666666668
Granivore,Control,1996.4,10.666666666666666
Granivore,Control,1997.1,16.666666666666668
Granivore,Control,1997.2,36.333333333333336
Granivore,Control,1997.3,25
