record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type,rodent_type,date,quarter
1,7,16,1977,2,NL,M,32,NA,Neotoma,albigula,Rodent,Control,Other,1977-07-16,1977.3
72,8,19,1977,2,NL,M,31,NA,Neotoma,albigula,Rodent,Control,Other,1977-08-19,1977.3
224,9,13,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control,Other,1977-09-13,1977.3
266,10,16,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control,Other,1977-10-16,1977.4
349,11,12,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control,Other,1977-11-12,1977.4
363,11,12,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control,Other,1977-11-12,1977.4
435,12,10,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control,Other,1977-12-10,1977.4
506,1,8,1978,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control,Other,1978-01-08,1978.1
588,2,18,1978,2,NL,M,NA,218,Neotoma,albigula,Rodent,Control,Other,1978-02-18,1978.1
661,3,11,1978,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control,Other,1978-03-11,1978.1
748,4,8,1978,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control,Other,1978-04-08,1978.2
845,5,6,1978,2,NL,M,32,204,Neotoma,albigula,Rodent,Control,Other,1978-05-06,1978.2
990,6,9,1978,2,NL,M,NA,200,Neotoma,albigula,Rodent,Control,Other,1978-06-09,1978.2
1164,8,5,1978,2,NL,M,34,199,Neotoma,albigula,Rodent,Control,Other,1978-08-05,1978.3
1261,9,4,1978,2,NL,M,32,197,Neotoma,albigula,Rodent,Control,Other,1978-09-04,1978.3
1374,10,8,1978,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control,Other,1978-10-08,1978.4
1453,11,5,1978,2,NL,M,NA,218,Neotoma,albigula,Rodent,Control,Other,1978-11-05,1978.4
1756,4,29,1979,2,NL,M,33,166,Neotoma,albigula,Rodent,Control,Other,1979-04-29,1979.2
1818,5,30,1979,2,NL,M,32,184,Neotoma,albigula,Rodent,Control,Other,1979-05-30,1979.2
1882,7,4,1979,2,NL,M,32,206,Neotoma,albigula,Rodent,Control,Other,1979-07-04,1979.3
2133,10,25,1979,2,NL,F,33,274,Neotoma,albigula,Rodent,Control,Other,1979-10-25,1979.4
2184,11,17,1979,2,NL,F,30,186,Neotoma,albigula,Rodent,Control,Other,1979-11-17,1979.4
2406,1,16,1980,2,NL,F,33,184,Neotoma,albigula,Rodent,Control,Other,1980-01-16,1980.1
2728,3,9,1980,2,NL,F,NA,NA,Neotoma,albigula,Rodent,Control,Other,1980-03-09,1980.1
3000,5,18,1980,2,NL,F,31,87,Neotoma,albigula,Rodent,Control,Other,1980-05-18,1980.2
3002,5,18,1980,2,NL,F,33,174,Neotoma,albigula,Rodent,Control,Other,1980-05-18,1980.2
4667,7,8,1981,2,NL,F,30,130,Neotoma,albigula,Rodent,Control,Other,1981-07-08,1981.3
4859,10,1,1981,2,NL,M,34,208,Neotoma,albigula,Rodent,Control,Other,1981-10-01,1981.4
5048,11,23,1981,2,NL,M,34,192,Neotoma,albigula,Rodent,Control,Other,1981-11-23,1981.4
5180,1,1,1982,2,NL,M,NA,206,Neotoma,albigula,Rodent,Control,Other,1982-01-01,1982.1
5299,1,25,1982,2,NL,F,32,165,Neotoma,albigula,Rodent,Control,Other,1982-01-25,1982.1
5485,2,24,1982,2,NL,M,34,202,Neotoma,albigula,Rodent,Control,Other,1982-02-24,1982.1
5558,3,29,1982,2,NL,M,33,211,Neotoma,albigula,Rodent,Control,Other,1982-03-29,1982.1
5583,3,29,1982,2,NL,M,31,120,Neotoma,albigula,Rodent,Control,Other,1982-03-29,1982.1
5966,5,22,1982,2,NL,F,32,40,Neotoma,albigula,Rodent,Control,Other,1982-05-22,1982.2
6020,6,28,1982,2,NL,M,33,222,Neotoma,albigula,Rodent,Control,Other,1982-06-28,1982.2
6023,6,28,1982,2,NL,F,30,100,Neotoma,albigula,Rodent,Control,Other,1982-06-28,1982.2
6036,6,28,1982,2,NL,F,33,120,Neotoma,albigula,Rodent,Control,Other,1982-06-28,1982.2
6167,7,25,1982,2,NL,M,NA,219,Neotoma,albigula,Rodent,Control,Other,1982-07-25,1982.3
6479,8,16,1982,2,NL,F,31,112,Neotoma,albigula,Rodent,Control,Other,1982-08-16,1982.3
6500,8,16,1982,2,NL,F,33,152,Neotoma,albigula,Rodent,Control,Other,1982-08-16,1982.3
